what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1456419341214
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1456419341267
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1456419341343
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1456419341418
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1456419341479
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1456419341547
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1456419341577
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1456419341630
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1456419341668
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1456419341728
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1456419341789
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1456419341842
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1456419341842
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1456419341887
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1456419341910
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1456419341948
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1456419342008
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1456419342038
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1456419342114
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1456419342152
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1456419342182
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1456419342212
os,sysinfo,,,"win32",1456419342227
arch,sysinfo,,,"x86",1456419342227
ws,sysinfo,,,"win32",1456419342227
locale,sysinfo,,,"en_US",1456419342227
processors,sysinfo,,,"1",1456419342227
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1456419342227
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1456419342227
java.specification.name,sysinfo,,,"Java Platform API Specification",1456419342227
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1456419342227
java.specification.version,sysinfo,,,"1.6",1456419342227
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1456419342227
java.version,sysinfo,,,"1.6.0_45",1456419342227
java.vm.info,sysinfo,,,"mixed mode, sharing",1456419342227
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1456419342227
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1456419342227
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1456419342227
java.vm.specification.version,sysinfo,,,"1.0",1456419342227
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1456419342227
java.vm.version,sysinfo,,,"20.45-b01",1456419342227
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1456419342333
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1456419344805
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1456419344911
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1456419345523
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1456419345947
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1456419346554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456419350039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456419357550
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456419357678
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1456419359205
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1456419360706
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1456419360916
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1456419361959
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1456419361959
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1456419362087
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1456419362188
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1456419362298
